"",20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500
22,90.66,83.88,77.32,71.07,65.56,60.18,54.89,50.15,45.77,41.26,37.44,33.95,30.68,27.68,25.45,23.50,22.11,22.01,23.50,23.55,20.29,17.53,16.44,17.34,20.82,27.12,33.59,36.50,35.01
23,91.20,84.48,77.98,71.77,66.31,60.97,55.72,51.02,46.67,42.18,38.39,34.92,31.66,28.67,26.45,24.51,23.11,23.01,24.52,24.62,21.36,18.60,17.53,18.44,21.90,28.17,34.61,37.53,35.98
24,91.73,85.08,78.63,72.47,67.04,61.74,56.54,51.87,47.55,43.10,39.33,35.88,32.64,29.66,27.45,25.51,24.11,24.01,25.54,25.69,22.42,19.67,18.61,19.53,22.98,29.22,35.64,38.55,36.94
25,92.26,85.67,79.27,73.15,67.77,62.51,57.34,52.71,48.42,44.00,40.26,36.83,33.60,30.65,28.44,26.51,25.11,25.01,26.55,26.75,23.48,20.73,19.69,20.62,24.06,30.27,36.66,39.57,37.89
26,92.78,86.25,79.90,73.83,68.49,63.27,58.14,53.54,49.28,44.89,41.18,37.77,34.57,31.62,29.43,27.51,26.11,26.01,27.57,27.81,24.54,21.79,20.76,21.71,25.14,31.31,37.68,40.58,38.84
27,93.30,86.82,80.53,74.50,69.19,64.01,58.92,54.36,50.13,45.78,42.09,38.71,35.52,32.60,30.42,28.51,27.11,27.01,28.59,28.87,25.60,22.85,21.84,22.79,26.22,32.36,38.70,41.58,39.78
28,93.82,87.39,81.14,75.16,69.89,64.75,59.70,55.17,50.98,46.65,42.99,39.63,36.48,33.57,31.41,29.50,28.11,28.01,29.61,29.93,26.65,23.91,22.91,23.87,27.29,33.40,39.72,42.58,40.71
29,94.34,87.96,81.75,75.81,70.58,65.48,60.46,55.97,51.81,47.52,43.89,40.56,37.42,34.54,32.39,30.50,29.11,29.01,30.63,30.99,27.71,24.97,23.98,24.94,28.36,34.44,40.73,43.58,41.63
30,94.85,88.52,82.36,76.45,71.26,66.20,61.22,56.76,52.64,48.38,44.78,41.47,38.36,35.50,33.37,31.49,30.11,30.01,31.65,32.04,28.76,26.03,25.05,26.02,29.42,35.48,41.74,44.57,42.55
31,95.36,89.08,82.96,77.09,71.94,66.91,61.97,57.55,53.46,49.24,45.66,42.38,39.30,36.46,34.35,32.48,31.11,31.01,32.66,33.10,29.81,27.08,26.11,27.09,30.49,36.52,42.76,45.55,43.46
32,95.87,89.63,83.55,77.73,72.61,67.62,62.72,58.33,54.27,50.09,46.54,43.29,40.23,37.42,35.32,33.47,32.10,32.01,33.68,34.15,30.86,28.13,27.17,28.16,31.55,37.56,43.77,46.54,44.37
33,96.37,90.18,84.14,78.35,73.27,68.32,63.45,59.10,55.08,50.93,47.41,44.19,41.16,38.37,36.29,34.46,33.10,33.01,34.70,35.20,31.91,29.18,28.23,29.23,32.62,38.59,44.77,47.51,45.27
34,96.87,90.73,84.73,78.98,73.93,69.01,64.19,59.87,55.88,51.77,48.28,45.09,42.09,39.32,37.27,35.44,34.10,34.01,35.72,36.24,32.96,30.23,29.29,30.29,33.68,39.63,45.78,48.49,46.17
35,97.37,91.27,85.31,79.60,74.58,69.70,64.91,60.63,56.67,52.60,49.15,45.98,43.01,40.27,38.23,36.43,35.09,35.01,36.73,37.29,34.01,31.28,30.35,31.36,34.73,40.67,46.79,49.46,47.07
36,97.87,91.81,85.89,80.21,75.23,70.39,65.64,61.39,57.46,53.43,50.01,46.87,43.93,41.22,39.20,37.41,36.09,36.01,37.75,38.34,35.06,32.33,31.40,32.42,35.79,41.70,47.79,50.43,47.96
37,98.37,92.35,86.46,80.82,75.88,71.07,66.35,62.14,58.25,54.25,50.86,47.76,44.85,42.16,40.17,38.40,37.08,37.01,38.77,39.38,36.10,33.38,32.46,33.48,36.85,42.73,48.79,51.40,48.84
38,98.87,92.88,87.03,81.43,76.52,71.74,67.06,62.89,59.03,55.07,51.71,48.64,45.76,43.10,41.13,39.38,38.07,38.01,39.79,40.42,37.14,34.42,33.51,34.54,37.90,43.77,49.80,52.36,49.73
39,99.36,93.41,87.60,82.03,77.15,72.41,67.77,63.63,59.81,55.89,52.56,49.52,46.67,44.04,42.09,40.36,39.07,39.01,40.80,41.47,38.19,35.47,34.56,35.59,38.96,44.80,50.80,53.32,50.61
40,99.85,93.94,88.17,82.63,77.78,73.08,68.48,64.37,60.59,56.70,53.41,50.40,47.58,44.98,43.05,41.34,40.06,40.01,41.82,42.51,39.23,36.51,35.61,36.65,40.01,45.83,51.80,54.28,51.49
41,100.35,94.47,88.73,83.23,78.41,73.75,69.18,65.11,61.36,57.51,54.25,51.27,48.48,45.91,44.01,42.32,41.05,41.01,42.84,43.55,40.27,37.55,36.66,37.70,41.06,46.86,52.80,55.24,52.36
42,100.84,95.00,89.29,83.82,79.04,74.41,69.88,65.84,62.12,58.32,55.09,52.15,49.39,46.85,44.97,43.30,42.05,42.01,43.85,44.59,41.31,38.59,37.70,38.76,42.11,47.89,53.79,56.20,53.23
43,101.32,95.52,89.85,84.41,79.66,75.07,70.57,66.57,62.89,59.12,55.93,53.01,50.29,47.78,45.92,44.27,43.04,43.01,44.87,45.63,42.35,39.64,38.75,39.81,43.16,48.92,54.79,57.15,54.10
44,101.81,96.04,90.40,85.00,80.29,75.72,71.26,67.30,63.65,59.92,56.76,53.88,51.19,48.71,46.88,45.25,44.03,44.01,45.89,46.66,43.39,40.68,39.80,40.86,44.21,49.95,55.79,58.10,54.97
45,102.30,96.56,90.95,85.58,80.90,76.38,71.95,68.02,64.41,60.72,57.59,54.75,52.09,49.64,47.83,46.23,45.03,45.01,46.90,47.70,44.43,41.72,40.84,41.91,45.25,50.98,56.78,59.05,55.84
46,102.79,97.08,91.51,86.17,81.52,77.03,72.64,68.74,65.17,61.52,58.42,55.61,52.98,50.57,48.79,47.20,46.02,46.01,47.92,48.74,45.47,42.75,41.88,42.96,46.30,52.00,57.78,60.00,56.70
47,103.27,97.60,92.06,86.75,82.13,77.67,73.32,69.46,65.92,62.31,59.25,56.47,53.88,51.49,49.74,48.18,47.01,47.01,48.94,49.77,46.51,43.79,42.93,44.01,47.35,53.03,58.78,60.95,57.56
48,103.75,98.12,92.60,87.33,82.75,78.32,74.00,70.18,66.67,63.10,60.08,57.33,54.77,52.42,50.69,49.15,48.00,48.01,49.96,50.81,47.54,44.83,43.97,45.05,48.39,54.06,59.77,61.89,58.42
49,104.24,98.63,93.15,87.91,83.36,78.96,74.68,70.90,67.42,63.89,60.90,58.19,55.66,53.34,51.64,50.13,48.99,49.01,50.97,51.84,48.58,45.87,45.01,46.10,49.44,55.09,60.76,62.84,59.28
50,104.72,99.14,93.69,88.49,83.96,79.61,75.36,71.61,68.17,64.68,61.72,59.04,56.55,54.26,52.59,51.10,49.98,50.01,51.99,52.88,49.62,46.91,46.05,47.15,50.48,56.11,61.76,63.78,60.14
51,105.20,99.66,94.24,89.06,84.57,80.25,76.04,72.32,68.92,65.46,62.54,59.90,57.44,55.19,53.54,52.07,50.97,51.01,53.01,53.91,50.65,47.94,47.09,48.19,51.52,57.14,62.75,64.72,60.99
52,105.68,100.17,94.78,89.63,85.17,80.89,76.71,73.03,69.66,66.25,63.36,60.75,58.33,56.11,54.49,53.05,51.96,52.01,54.02,54.94,51.69,48.98,48.13,49.24,52.56,58.16,63.74,65.66,61.84
53,106.16,100.68,95.32,90.21,85.78,81.52,77.38,73.74,70.40,67.03,64.18,61.60,59.21,57.03,55.43,54.02,52.96,53.01,55.04,55.97,52.72,50.01,49.17,50.28,53.61,59.19,64.73,66.60,62.70
54,106.64,101.19,95.86,90.78,86.38,82.16,78.06,74.44,71.14,67.81,64.99,62.45,60.10,57.95,56.38,54.99,53.95,54.01,56.06,57.01,53.76,51.05,50.21,51.32,54.65,60.22,65.72,67.54,63.55
55,107.12,101.70,96.40,91.35,86.98,82.79,78.72,75.15,71.88,68.59,65.81,63.30,60.98,58.87,57.33,55.96,54.94,55.01,57.07,58.04,54.79,52.08,51.24,52.36,55.69,61.24,66.71,68.48,64.40
56,107.60,102.20,96.94,91.91,87.58,83.42,79.39,75.85,72.62,69.37,66.62,64.15,61.87,59.79,58.27,56.93,55.93,56.01,58.09,59.07,55.83,53.12,52.28,53.41,56.73,62.26,67.71,69.42,65.25
57,108.08,102.71,97.47,92.48,88.18,84.06,80.06,76.55,73.36,70.15,67.43,65.00,62.75,60.70,59.22,57.90,56.92,57.01,59.11,60.10,56.86,54.15,53.32,54.45,57.77,63.29,68.70,70.35,66.09
